2019-02-14 18:41:01,713 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@42dafa95: startup date [Thu Feb 14 18:41:01 EET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-02-14 18:41:02,615 | INFO  | PListStore:[D:\Programs\apache-activemq-5.13.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-02-14 18:41:02,636 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Programs\apache-activemq-5.13.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-02-14 18:41:02,868 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-50543-1550162462720-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-02-14 18:41:02,887 | INFO  | Listening for connections at: tcp://DESKTOP-I77P024:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-14 18:41:02,890 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-02-14 18:41:02,897 | INFO  | Listening for connections at: amqp://DESKTOP-I77P024:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-14 18:41:02,899 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-02-14 18:41:02,901 | INFO  | Listening for connections at: stomp://DESKTOP-I77P024:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-14 18:41:02,910 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-02-14 18:41:02,917 | INFO  | Listening for connections at: mqtt://DESKTOP-I77P024:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-14 18:41:02,922 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-02-14 18:41:04,388 | INFO  | Listening for connections at ws://DESKTOP-I77P024:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-02-14 18:41:04,390 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-02-14 18:41:04,394 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-50543-1550162462720-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-02-14 18:41:04,397 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-02-14 18:41:04,891 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-02-14 18:41:05,200 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-14 18:41:05,201 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-14 18:41:05,299 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-02-14 18:41:05,617 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-02-14 18:41:05,894 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
